sci_name|genus|subgenus|specific_epithet|subspecies|original_name_combination
Osphranter_robustus|Osphranter|NA|robustus|_O. r. altus_ (Owen, 1874) (fossil; synonyms: _birdselli_ (Tedford, 1967), _cooperi_ Owen, 1874); _O. r. erubescens_ (Sclater, 1870) (synonyms: _alexandriae_ (Schwarz, 1910), _alligatoris_ (Thomas, 1904), _argentatus_ (Rothschild, 1905), _cervinus_ (Thomas, 1900), _hagenbecki_ (Rothschild, 1907), _magnus_ (Owen, 1874), _rubens_ (Schwarz, 1910)); _O. r. isabellinus_ Gould, 1842; _O. r. robustus_ (Gould, 1840) (synonyms: _reginae_ (Schwarz, 1910)); _O. r. woodwardi_ (Thomas, 1901) (synonyms: _bracteator_ (Thomas, 1911))|Macropus (Petrogale) robustus
Bettongia_gaimardi|Bettongia|NA|gaimardi|_B. g. cuniculus_ (Ogilby, 1838) (synonyms: _setosa_ Gray, 1837); _B. g. gaimardi_ (Desmarest, 1822) (synonyms: _formosa_ (Ogilby, 1838), _hunteri_ (Owen, 1841), _leptura_ (Quoy & Gaimard, 1824), _minimus_ (Boitard, 1841), _minor_ (Shaw, 1800), _phillippi_ (Ogilby, 1838), _white_ (Quoy & Gaimard, 1824))|kangurus Gaimardi
Bettongia_lesueur|Bettongia|NA|lesueur|_B. l. graii_ (Gould, 1841); _B. l. lesueur_ (Quoy & Gaimard, 1824) (synonyms: _harveyi_ (Waterhouse, 1842))|hypsiprymnus Lesueur
Bettongia_ogilbyi|Bettongia|NA|ogilbyi|_B. o. francisca_ Finlayson, 1957 (recently extinct); _B. o. odontoploica_ Newman-Martin, Travouillon & Warburton, 2025 (recently extinct); _B. o. ogilbyi_ (Waterhouse, 1841); _B. o. sylvatica_ Newman-Martin, Travouillon & Warburton, 2025|Hypsiprymnus Ogilbyi
Potorous_tridactylus|Potorous|NA|tridactylus|_P. t. apicalis_ (Gould, 1851) (synonyms: _benormi_ Courtney, 1963, _rufus_ Higgins & Petterd, 1884); _P. t. tridactylus_ (Kerr, 1792) (synonyms: _minor_ (Shaw, 1800), _murinus_ (Cuvier, 1797), _muscola_ (Perry, 1810), _myosurus_ (Ogilby, 1838), _peron_ (Quoy & Gaimard, 1824), _potoroo_ (Fischer, 1814), _potoru_ (Meyer, 1793), _setosus_ (Ogilby, 1832), _waddahyamin_ Hoser, 2020); _P. t. trisulcatus_ (McCoy, 1865)|Didelphis tridactyla
Dactylopsila_trivirgata|Dactylopsila|NA|trivirgata|_D. t. kataui_ Matschie, 1916; _D. t. melampus_ Thomas, 1908 (synonyms: _biedermanni_ Matschie, 1916, _hindenburgi_ Ramme, 1914); _D. t. picata_ Thomas, 1908 (synonyms: _infumata_ Tate, 1945); _D. t. trivirgata_ Gray, 1858|Dactylopsila trivirgata
Petaurus_australis|Petaurus|NA|australis|_P. a. australis_ Shaw, 1791 (synonyms: _cunninghami_ Gray, 1843, _flaviventer_ Desmarest, 1817, _hepunaru_ Oken, 1816, _novaehollandiae_ (Meyer, 1793), _opossum_ Falcimagne, 1854, _petaurus_ (Shaw, 1800)); _P. a. reginae_ Thomas, 1923|Petaurus australis
Petauroides_volans|Petauroides|NA|volans|_P. v. incanus_ Thomas, 1923; _P. v. volans_ (Kerr, 1792) (synonyms: _didelphoides_ (Cuvier, 1825), _macrourus_ (Shaw, 1794), _maximus_ (Partington, 1837), _niger_ (Oken, 1816), _peronii_ (Desmarest, 1817), _petaurista_ (Geoffroy Saint-Hilaire, 1803), _taguanoides_ (Desmarest, 1817), _typicus_ Thomas, 1888, _voluccella_ (Meyer, 1793))|Didelphis volans
Pseudocheirus_peregrinus|Pseudocheirus|NA|peregrinus|_P. p. convolutor_ (Schinz, 1821) (synonyms: _bassianus_ Le Souef, 1929, _convolutor_ (Oken, 1816), _incanus_ (Schinz, 1844), _viverrinus_ (Ogilby, 1837)); _P. p. peregrinus_ (Boddaert, 1785) (synonyms: _australis_ (Goldfuss, 1809), _banksii_ (Gray, 1838), _banksii_ (Oken, 1816), _caudivolvolus_ (Goldfuss, 1809), _caudivolvulus_ (Kerr, 1792), _cookii_ (Desmarest, 1817), _incanens_ Thomas, 1923, _laniginosus_ (Gould, 1858), _modestus_ Thomas, 1926, _notialis_ Thomas, 1923, _novaehollandiae_ (Bechstein, 1799), _oralis_ Thomas, 1926, _victoriae_ Matschie, 1915); _P. p. pulcher_ Matschie, 1915 (synonyms: _cookii_ (Desmarest, 1817), _rubidus_ Troughton & Le Souef, 1929)|Didelphis Peregrinus
Pseudochirulus_canescens|Pseudochirulus|NA|canescens|_P. c. avarus_ (Thomas, 1906); _P. c. bernsteinii_ (Schlegel, 1866); _P. c. canescens_ (Waterhouse, 1846) (synonyms: _grisescenti_ (Peters, 1874)); _P. c. dammermani_ (Thomas, 1922); _P. c. gyrator_ (Thomas, 1904)|Phalangista (Pseudochirus) canescens
