sci_name|genus|subgenus|specific_epithet|subspecies|original_name_combination
Myotis_moluccarum|Myotis|Myotis|moluccarum|_M. m. moluccarum_ (Thomas, 1915); _M. m. richardsi_ Kitchener, 1995; _M. m. solomonis_ (Troughton, 1929)|Leuconoe moluccarum
Myotis_montivagus|Myotis|Myotis|montivagus|NA|Vespertilio montivagus
Myotis_moratellii|Myotis|Pizonyx|moratellii|NA|Myotis moratellii
Myotis_morrisi|Myotis|Chrysopteron|morrisi|NA|Myotis morrisi
Myotis_muricola|Myotis|Myotis|muricola|NA|Vespertilio muricola
Myotis_myotis|Myotis|Myotis|myotis|_M. m. macrocephalicus_ Harrison & Lewis, 1961; _M. m. myotis_ (Borkhausen, 1797) (synonyms: _alpinus_ Koch, 1863, _murinus_ Linnaeus, 1758, _myosotis_ (André, 1797), _spelaeus_ Bielz, 1886, _submurinus_ (Brehm, 1827), _typus_ Koch, 1863)|Vespertilio Myotis
Myotis_mystacinus|Myotis|Myotis|mystacinus|_M. m. mystacinus_ (Kuhl, 1817) (synonyms: _collaris_ (Schinz, 1821), _humeralis_ (Baillon, 1834), _lugubris_ (Fatio, 1869), _nigricans_ (Fatio, 1869), _nigricans_ (Koch, 1863), _nigrofuscus_ (Fitzinger, 1871), _rufofuscus_ (Koch, 1863), _schinzii_ (Brehm, 1827), _schrankii_ (Wagner, 1843)); _M. m. occidentalis_ Benda, 2000|Vespertilio mystacinus
Myotis_nattereri|Myotis|Myotis|nattereri|NA|Vespertilio Nattereri
Myotis_nesopolus|Myotis|Pizonyx|nesopolus|NA|Myotis nesopolus
Myotis_nigricans|Myotis|Pizonyx|nigricans|NA|Vespertilio nigricans
Myotis_nimbaensis|Myotis|Chrysopteron|nimbaensis|NA|Myotis nimbaensis
Myotis_nipalensis|Myotis|Myotis|nipalensis|NA|Vespertilio Nipalensis
Myotis_nustrale|Myotis|Myotis|nustrale|NA|Myotis nustrale
Myotis_nyctor|Myotis|Pizonyx|nyctor|NA|Myotis nyctor
Myotis_occultus|Myotis|Pizonyx|occultus|NA|Myotis occultus
Myotis_oxyotus|Myotis|Pizonyx|oxyotus|_M. o. gardneri_ LaVal, 1973; _M. o. oxyotus_ (Peters, 1866) (synonyms: _thomasi_ Cabrera, 1901)|Vespertilio oxyotus
Myotis_pampa|Myotis|Pizonyx|pampa|NA|Myotis pampa
Myotis_pequinius|Myotis|Myotis|pequinius|NA|Myotis (Leuconoe) pequinius
Myotis_petax|Myotis|Myotis|petax|_M. p. loukashkini_ Shamel, 1942 (synonyms: _chasanensis_ Tiunov, 1997); _M. p. petax_ Hollister, 1912; _M. p. ussuriensis_ Огнёв, 1927 (synonyms: _abei_ Yoshikura, 1944)|Myotis petax
Myotis_peytoni|Myotis|Myotis|peytoni|NA|Myotis peytoni
Myotis_phanluongi|Myotis|Myotis|phanluongi|NA|Myotis phanluongi
Myotis_pilosatibialis|Myotis|Pizonyx|pilosatibialis|NA|Myotis keaysi pilosatibialis
Myotis_pilosus|Myotis|Myotis|pilosus|NA|Vespertilio (Leuconoë) pilosus
Myotis_planiceps|Myotis|Pizonyx|planiceps|NA|Myotis planiceps
Myotis_pruinosus|Myotis|Myotis|pruinosus|NA|Myotis pruinosus
Myotis_punicus|Myotis|Myotis|punicus|NA|Myotis blythii punicus
Myotis_ridleyi|Myotis|Myotis|ridleyi|NA|Pipistrellus Ridleyi
Myotis_riparius|Myotis|Pizonyx|riparius|NA|Myotis simus riparius
Myotis_rosseti|Myotis|Myotis|rosseti|NA|Glischropus rosseti
Myotis_ruber|Myotis|Pizonyx|ruber|NA|Vespertilio ruber
Myotis_rufoniger|Myotis|Chrysopteron|rufoniger|NA|Vespertilio rufo-niger
Myotis_rufopictus|Myotis|Chrysopteron|rufopictus|NA|Vespertilio rufo-pictus
Myotis_schaubi|Myotis|Myotis|schaubi|_M. s. araxenus_ Dahl, 1947 (synonyms: _kretzoii_ Topál, 1981); _M. s. schaubi_ Kormos, 1934 (fossil)|Myotis Schaubi
Myotis_scotti|Myotis|Chrysopteron|scotti|NA|Myotis scotti
Myotis_secundus|Myotis|Myotis|secundus|NA|Myotis secundus
Myotis_septentrionalis|Myotis|Pizonyx|septentrionalis|NA|Vespertilio gryphus var. septentrionalis
Myotis_sibiricus|Myotis|Pizonyx|sibiricus|NA|Vespertilio mystacinus subsp. sibiricus
Myotis_sicarius|Myotis|Myotis|sicarius|NA|Myotis sicarius
Myotis_siligorensis|Myotis|Myotis|siligorensis|NA|Vespertilio siligorensis
Myotis_simus|Myotis|Pizonyx|simus|NA|Myotis simus
Myotis_sodalis|Myotis|Pizonyx|sodalis|NA|Myotis sodalis
Myotis_soror|Myotis|Myotis|soror|NA|Myotis soror
Myotis_sowerbyi|Myotis|Myotis|sowerbyi|NA|Myotis sowerbyi
Myotis_stalkeri|Myotis|Myotis|stalkeri|NA|Myotis (Leuconoe) stalkeri
Myotis_thysanodes|Myotis|Pizonyx|thysanodes|_M. t. aztecus_ Miller & Allen, 1928; _M. t. pahasapensis_ Jones & Genoways, 1967; _M. t. thysanodes_ Miller, 1897; _M. t. vespertinus_ Manning & Jones, 1988|Myotis thysanodes
Myotis_tricolor|Myotis|Chrysopteron|tricolor|NA|Vespertilio tricolor
Myotis_tschuliensis|Myotis|Myotis|tschuliensis|NA|Myotis nattereri tschuliensis
Myotis_velifer|Myotis|Pizonyx|velifer|_M. v. brevis_ Vaughan, 1954; _M. v. grandis_ Hayward, 1970; _M. v. incautus_ (Allen, 1896); _M. v. magnamolaris_ Choate & Hall, 1967 (fossil); _M. v. peninsularis_ Miller, 1898; _M. v. velifer_ (Allen, 1890) (synonyms: _jaliscensis_ Menegaux, 1901)|Vespertilio velifer
Myotis_vivesi|Myotis|Pizonyx|vivesi|NA|Myotis Vivesi
Myotis_volans|Myotis|Pizonyx|volans|_M. v. amotus_ Miller, 1914; _M. v. interior_ Miller, 1914; _M. v. longicrus_ (True, 1886) (synonyms: _altifrons_ Hollister, 1911, _ruddi_ Silliman & von Bloeker, 1938); _M. v. volans_ (Allen, 1866) (synonyms: _capitaneus_ Nelson & Goldman, 1909)|Vespertilio volans
Myotis_weberi|Myotis|Chrysopteron|weberi|NA|Kerivoula weberi
Myotis_welwitschii|Myotis|Chrysopteron|welwitschii|NA|Scotophilus welwitschii
Myotis_yanbarensis|Myotis|Myotis|yanbarensis|NA|Myotis yanbarensis
Myotis_yumanensis|Myotis|Pizonyx|yumanensis|_M. y. lambi_ Benson, 1947; _M. y. lutosus_ Miller & Allen, 1928; _M. y. oxalis_ Dalquest, 1947; _M. y. saturatus_ Miller, 1897; _M. y. sociabilis_ Grinnell, 1914; _M. y. yumanensis_ (Allen, 1864) (synonyms: _durangae_ Allen, 1903, _macropus_ (Allen, 1866), _obscurus_ (Allen, 1866), _phasma_ Miller & Allen, 1928)|Vespertilio yumanensis
Myotis_zenatius|Myotis|Myotis|zenatius|NA|Myotis zenatius
Lasiurus_arequipae|Lasiurus|Lasiurus|arequipae|NA|Lasiurus arequipae
Lasiurus_atratus|Lasiurus|Lasiurus|atratus|NA|Lasiurus atratus
Lasiurus_blossevillii|Lasiurus|Lasiurus|blossevillii|_L. b. blossevillii_ (Lesson, 1826) (synonyms: _aurantius_ (Miranda-Ribeiro, 1903), _bonariensis_ (Lesson, 1827), _lasiurus_ (Schreber, 1781), _nattereri_ Fitzinger, 1870); _L. b. brachyotis_ (Allen, 1892); _L. b. salinae_ Thomas, 1902 (synonyms: _enslenii_ Lima, 1926)|Vespertilio Blossevilii
Lasiurus_borealis|Lasiurus|Lasiurus|borealis|NA|Vespertilio borealis
Lasiurus_castaneus|Lasiurus|Lasiurus|castaneus|NA|Lasiurus castaneus
Lasiurus_cinereus|Lasiurus|Aeorestes|cinereus|NA|Vespertilio linereus
Lasiurus_degelidus|Lasiurus|Lasiurus|degelidus|NA|Lasiurus degelidus
Lasiurus_ebenus|Lasiurus|Lasiurus|ebenus|NA|Lasiurus ebenus
Lasiurus_ega|Lasiurus|Dasypterus|ega|_L. e. argentinus_ (Thomas, 1901); _L. e. ega_ (Gervais, 1855) (synonyms: _caudatus_ Tomes, 1857, _typicus_ (Thomas, 1897)); _L. e. fuscatus_ (Thomas, 1901) (synonyms: _punensis_ (Allen, 1914)); _L. e. panamensis_ (Thomas, 1901)|Nycticejus Ega
Lasiurus_egregius|Lasiurus|Aeorestes|egregius|NA|Atalapha egregia
Lasiurus_frantzii|Lasiurus|Lasiurus|frantzii|_L. f. frantzii_ (Peters, 1871) (synonyms: _mexicanus_ (Saussure, 1861)); _L. f. teliotis_ (Allen, 1891) (synonyms: _ornatus_ Hall, 1951)|Atalapha Frantzii
Lasiurus_insularis|Lasiurus|Dasypterus|insularis|NA|Lasiurus intermedius insularis
Lasiurus_intermedius|Lasiurus|Dasypterus|intermedius|_L. i. floridanus_ (Miller, 1902); _L. i. intermedius_ Allen, 1862|Lasiurus intermedius
Lasiurus_minor|Lasiurus|Lasiurus|minor|NA|Lasiurus minor
Lasiurus_pfeifferi|Lasiurus|Lasiurus|pfeifferi|NA|Atalapha Pfeifferi
Lasiurus_seminolus|Lasiurus|Lasiurus|seminolus|NA|Atalapha borealis seminola
Lasiurus_semotus|Lasiurus|Aeorestes|semotus|NA|Atalapha semota
Lasiurus_varius|Lasiurus|Lasiurus|varius|NA|Nycticeius varius
Lasiurus_villosissimus|Lasiurus|Aeorestes|villosissimus|_L. v. brasiliensis_ (Pira, 1905); _L. v. grayi_ Tomes, 1857; _L. v. pallescens_ (Peters, 1871); _L. v. villosissimus_ (Geoffroy Saint-Hilaire, 1806)|Vespertilio villosissimus
Lasiurus_xanthinus|Lasiurus|Dasypterus|xanthinus|NA|Dasypterus ega xanthinus
Pipistrellus_aero|Pipistrellus|incertae sedis|aero|NA|Pipistrellus aero
Pipistrellus_creticus|Pipistrellus|Pipistrellus|creticus|NA|Pipistrellus hanaki creticus
Pipistrellus_etula|Pipistrellus|Pipistrellus|etula|NA|Pipistrellus etula
Pipistrellus_hanaki|Pipistrellus|Pipistrellus|hanaki|NA|Pipistrellus hanaki
Pipistrellus_hesperidus|Pipistrellus|Pipistrellus|hesperidus|_P. h. fuscatus_ Thomas, 1901; _P. h. hesperidus_ (Temminck, 1840); _P. h. subtilis_ (Sundevall, 1847) (synonyms: _broomi_ Roberts, 1948, _humbloti_ (Milne-Edwards, 1881))|Vespertilio hesperida
